Airline,Booking_Date,Departure_Date,Days_to_Departure,Source,Destination,Duration,Class,Price
Citilink,2024-12-01,2025-01-18,48.0,Makassar,Jakarta,2.7,Economy,2071.0670994278394
Citilink,2024-02-19,2024-02-27,8.0,Medan,Makassar,3.9,Economy,2014.9926428867448
AirAsia,2023-01-13,2023-04-09,,Surabaya,Balikpapan,1.3,Business,3386.084523531496
Garuda Indonesia,2023-11-04,2024-01-09,66.0,Balikpapan,Yogyakarta,2.4,Economy,1300.723244511683
Garuda Indonesia,2023-07-16,2023-09-18,64.0,Makassar,Medan,4.0,Business,4014.8531492002658
Batik Air,2024-11-05,2024-11-17,,Makassar,Surabaya,1.5,Business,4231.629175936692
Sriwijaya Air,2023-11-09,2024-02-04,87.0,Makassar,Denpasar,1.2,Economy,547.0951596185938
Citilink,2023-01-24,2023-02-10,17.0,Yogyakarta,Jakarta,1.2,Economy,2094.9088657364964
Garuda Indonesia,2024-04-04,2024-05-26,52.0,Jakarta,Yogyakarta,1.0,Economy,1385.4909267560092
Sriwijaya Air,2024-12-23,2025-01-05,13.0,Jakarta,Surabaya,1.6,Economy,2023.0331715030918
Batik Air,2023-09-17,2023-10-17,30.0,Yogyakarta,Medan,3.8,Economy,2540.0576547487058
Batik Air,2023-04-24,2023-07-05,72.0,Makassar,Denpasar,1.0,Business,2576.658934928831
Batik Air,2024-02-07,2024-04-26,79.0,Yogyakarta,Balikpapan,2.2,Economy,1128.3828632982243
Batik Air,2023-03-03,2023-04-05,33.0,Yogyakarta,Makassar,1.9,Economy,820.9707155022945
Batik Air,2023-04-07,2023-06-22,76.0,Makassar,Balikpapan,1.0,Economy,1516.3877169720347
Garuda Indonesia,2024-06-20,2024-08-03,44.0,Denpasar,Yogyakarta,1.1,Economy,1892.879212445575
Sriwijaya Air,2023-11-15,2023-12-01,16.0,Makassar,Balikpapan,0.8,Business,5742.757310115026
Lion Air,2023-08-29,2023-09-28,30.0,Denpasar,Medan,4.4,Economy,1729.5467597585703
Garuda Indonesia,2024-12-29,2025-01-23,25.0,Surabaya,Yogyakarta,0.9,Economy,1291.2455895364137
Lion Air,2024-10-09,2024-12-01,53.0,Denpasar,Surabaya,1.1,Economy,1548.433565522841
Sriwijaya Air,2024-12-24,2025-02-07,45.0,Balikpapan,Makassar,1.2,Economy,1157.4413663239088
Sriwijaya Air,2023-12-22,2024-03-02,71.0,Jakarta,Medan,2.3,Business,3550.9003187484636
Sriwijaya Air,2024-12-13,2024-12-19,6.0,Jakarta,Denpasar,,Economy,1225.1665593492407
Citilink,2023-07-21,2023-10-07,78.0,Yogyakarta,Jakarta,1.0,Business,3824.3418125264857
AirAsia,2023-10-13,2023-10-21,8.0,Makassar,Balikpapan,1.2,Business,3454.6563504343844
Lion Air,2023-10-02,2023-10-04,2.0,Makassar,Surabaya,1.6,Economy,880.0815745188082
Garuda Indonesia,2023-11-02,2023-11-21,19.0,Denpasar,Surabaya,0.9,Business,2174.179241833379
Citilink,2023-01-24,2023-02-24,31.0,Medan,Denpasar,4.0,Business,3656.0345113779636
AirAsia,2023-05-18,2023-07-27,70.0,Medan,Balikpapan,3.5,Economy,1580.905326694442
Lion Air,2023-04-13,2023-05-03,20.0,Surabaya,Medan,3.3,Economy,1283.5315622973956
AirAsia,2024-05-05,2024-07-24,80.0,Balikpapan,Surabaya,1.3,Economy,2260.5552159634026
Citilink,2024-03-26,2024-06-22,88.0,Medan,Denpasar,4.4,Economy,739.2764625781759
Batik Air,2023-04-20,2023-07-09,80.0,Denpasar,Makassar,1.2,Economy,1186.9794465413693
AirAsia,2024-08-31,2024-10-18,48.0,Medan,Denpasar,4.3,Economy,1526.1331159102172
Lion Air,2023-07-02,2023-07-20,18.0,Yogyakarta,Makassar,1.9,Economy,1423.8741198528742
Citilink,2023-12-21,2024-02-09,50.0,Balikpapan,Makassar,0.8,Economy,2113.404060308078
Sriwijaya Air,2023-07-01,2023-08-31,61.0,Balikpapan,Makassar,0.8,Business,4058.488945433454
Sriwijaya Air,2023-04-18,2023-05-24,36.0,Makassar,Jakarta,2.5,Economy,1742.264218855393
AirAsia,2024-08-14,2024-08-17,3.0,Balikpapan,Surabaya,1.6,Economy,1797.3367677687506
Batik Air,2024-07-14,2024-08-31,48.0,Yogyakarta,Balikpapan,2.3,Economy,1187.9789814619148
Citilink,2024-04-01,2024-06-17,77.0,Yogyakarta,Medan,4.0,Economy,1258.1193552312934
Lion Air,2024-05-10,2024-05-14,4.0,Surabaya,Yogyakarta,1.2,Economy,3269.454322357084
AirAsia,2023-08-31,2023-11-26,87.0,Medan,Surabaya,3.4,Economy,1282.2679555605453
Citilink,2024-07-01,2024-09-27,88.0,Denpasar,Yogyakarta,1.1,Economy,687.6047151564629
Citilink,2023-08-27,2023-09-26,30.0,Surabaya,Denpasar,1.2,Business,3005.8066946818603
Batik Air,2024-05-30,2024-06-04,5.0,Makassar,Denpasar,1.2,Economy,7343.749525972491
Citilink,2023-04-13,2023-05-15,32.0,Yogyakarta,Denpasar,1.3,Economy,1557.8404938803899
Citilink,2024-06-10,2024-07-24,44.0,Surabaya,Jakarta,1.4,Economy,1242.1694138175062
Citilink,2024-11-15,2024-12-13,28.0,Makassar,Medan,4.1,Business,3361.3662227986283
Garuda Indonesia,2024-06-07,2024-07-31,54.0,Medan,Jakarta,2.0,Business,3267.9526658995273
Citilink,2023-08-20,2023-10-16,57.0,Makassar,Surabaya,1.3,Economy,728.7386993155544
Sriwijaya Air,2024-10-19,2024-10-31,12.0,Denpasar,Balikpapan,1.4,Economy,1952.4130195578914
Garuda Indonesia,2023-07-24,2023-09-30,68.0,Surabaya,Denpasar,0.8,Economy,999.1686261860611
Citilink,2024-12-26,2025-03-23,,Yogyakarta,Medan,3.7,Economy,1113.3402082985738
Sriwijaya Air,2023-05-04,2023-05-17,13.0,Yogyakarta,Medan,3.7,Economy,1909.8100627547144
Batik Air,2024-02-08,2024-03-11,32.0,Jakarta,Medan,2.0,Business,4799.147090026299
Citilink,2024-05-04,2024-05-10,6.0,Makassar,Denpasar,1.2,Business,5190.8302938036295
Lion Air,2024-09-19,2024-11-25,67.0,Balikpapan,Yogyakarta,2.3,Economy,1437.2238079301628
Batik Air,2023-05-26,2023-07-29,64.0,Medan,Makassar,4.1,Economy,1714.2492963627633
AirAsia,2024-11-09,2024-11-17,8.0,Jakarta,Denpasar,1.9,Economy,990.4776469178264
Sriwijaya Air,2024-09-13,2024-10-29,46.0,Denpasar,Surabaya,0.8,Economy,1944.1540452957815
Lion Air,2023-05-29,2023-08-13,76.0,Balikpapan,Surabaya,1.6,Business,3043.1971761211216
AirAsia,2023-12-27,2024-02-06,41.0,Denpasar,Makassar,1.3,Economy,1192.7144491350236
Batik Air,2024-09-11,2024-09-29,18.0,Balikpapan,Surabaya,1.4,Economy,1027.5508063408736
Lion Air,2023-03-12,2023-04-21,40.0,Yogyakarta,Jakarta,1.1,Economy,1632.3408261372545
Citilink,2024-04-25,2024-07-14,80.0,Makassar,Jakarta,2.5,Economy,826.4595354905198
Lion Air,2023-08-06,2023-09-01,26.0,Jakarta,Yogyakarta,1.1,Economy,997.9687665481003
Garuda Indonesia,2023-05-10,2023-07-27,78.0,Jakarta,Makassar,2.5,Economy,698.594299948941
AirAsia,2024-06-01,2024-08-09,69.0,Jakarta,Medan,2.2,Business,4244.644993552563
Sriwijaya Air,2023-10-29,2023-12-10,42.0,Denpasar,Balikpapan,1.5,Economy,507.25317350454725
AirAsia,2024-11-15,2024-11-23,8.0,Yogyakarta,Jakarta,1.4,Economy,2554.69466824847
AirAsia,2023-04-14,2023-07-08,85.0,Yogyakarta,Surabaya,1.0,Business,1869.650058623916
AirAsia,2024-10-18,2024-11-28,41.0,Balikpapan,Jakarta,1.9,Economy,1918.2359909267036
AirAsia,2023-12-26,2024-02-18,54.0,Yogyakarta,Jakarta,1.0,Business,1966.6944851627395
Citilink,2024-05-25,2024-08-14,81.0,Denpasar,Yogyakarta,1.1,Economy,1578.6907538298271
Batik Air,2024-11-07,2024-12-22,45.0,Medan,Surabaya,3.5,Economy,1423.9519523399808
Batik Air,2024-08-17,2024-09-26,40.0,Medan,Yogyakarta,3.8,Economy,1457.4485271368678
Garuda Indonesia,2024-11-19,2025-02-12,85.0,Medan,Yogyakarta,3.9,Economy,1392.1932871300576
Lion Air,2024-07-08,2024-08-11,34.0,Balikpapan,Medan,3.5,Economy,2065.6772555947746
Citilink,2023-05-14,2023-07-21,68.0,Denpasar,Jakarta,1.9,Economy,1534.7238307040236
AirAsia,2024-08-17,2024-10-21,65.0,Denpasar,Yogyakarta,1.3,Economy,1175.345354241034
Lion Air,2023-11-01,2024-01-06,66.0,Denpasar,Jakarta,1.8,Economy,1636.4238090710228
AirAsia,2023-02-23,2023-04-24,60.0,Denpasar,Balikpapan,1.3,Economy,882.4586251233884
Sriwijaya Air,2024-05-10,2024-06-28,49.0,Jakarta,Makassar,2.7,Economy,1849.2800242102749
Lion Air,2023-11-07,2023-12-26,49.0,Medan,Balikpapan,3.7,Economy,1738.2531738572638
Lion Air,2024-02-26,2024-03-30,33.0,Makassar,Yogyakarta,2.0,Economy,2063.3281414438434
Batik Air,2023-11-12,2024-01-31,80.0,Surabaya,Denpasar,1.1,Business,3340.479756024869
Citilink,2023-04-22,2023-06-21,60.0,Denpasar,Yogyakarta,1.3,Economy,949.5974464851397
Citilink,2024-12-05,2024-12-17,12.0,Medan,Denpasar,4.3,Economy,1709.8533546673987
Batik Air,2024-08-11,2024-10-22,72.0,Balikpapan,Denpasar,1.5,Economy,1778.4838093928504
Sriwijaya Air,2023-03-22,2023-04-19,28.0,Denpasar,Makassar,1.4,Economy,2272.649429264088
AirAsia,2023-02-09,2023-02-12,3.0,Medan,Balikpapan,3.5,Economy,1723.1332184475434
Sriwijaya Air,2023-11-23,2024-02-19,88.0,Medan,Surabaya,3.3,Business,1354.319477857219
Citilink,2024-01-10,2024-02-01,22.0,Surabaya,Yogyakarta,0.9,Economy,2023.471442167812
Citilink,2024-12-10,2025-01-22,43.0,Makassar,Medan,3.8,Economy,1550.641022718788
Sriwijaya Air,2024-11-04,2024-11-19,15.0,Makassar,Balikpapan,0.9,Economy,928.7623378615715
Lion Air,2023-11-29,2024-02-14,77.0,Yogyakarta,Denpasar,1.0,Economy,1520.2901361705196
Sriwijaya Air,2023-12-09,2024-02-21,74.0,Yogyakarta,Denpasar,1.3,Economy,624.8318548843088
Citilink,2024-12-06,2025-01-28,53.0,Denpasar,Makassar,1.4,Economy,1645.1090116390835
AirAsia,2024-06-13,2024-08-13,61.0,Makassar,Yogyakarta,2.0,Economy,1127.9203669396074
AirAsia,2023-08-14,2023-11-07,85.0,Jakarta,Makassar,2.5,Economy,482.2322980690865
Garuda Indonesia,2023-05-22,2023-06-30,39.0,Medan,Denpasar,4.1,Business,2102.8912189691264
Batik Air,2023-02-01,2023-04-10,68.0,Makassar,Yogyakarta,2.0,Economy,1597.2398419031529
Batik Air,2023-09-30,2023-11-03,34.0,Jakarta,Balikpapan,1.9,Business,2371.6199763170075
Lion Air,2023-12-12,2024-03-08,87.0,Surabaya,Jakarta,1.5,Economy,1426.2936474611154
Garuda Indonesia,2023-10-20,2023-12-25,66.0,Medan,Surabaya,3.5,Business,1632.3921509217496
Lion Air,2023-12-19,2024-01-22,34.0,Denpasar,Medan,4.1,Economy,1296.4263730710932
Lion Air,2023-12-21,2024-01-27,37.0,Medan,Yogyakarta,3.9,Economy,1027.7646710327133
Garuda Indonesia,2024-06-23,2024-07-28,35.0,Surabaya,Yogyakarta,0.8,Business,4076.5261623119427
Citilink,2024-11-17,2024-11-30,13.0,Surabaya,Medan,3.6,Economy,1881.2621881702635
Lion Air,2024-12-27,2025-02-06,41.0,Makassar,Medan,3.9,Economy,901.0493297159287
AirAsia,2024-08-15,2024-08-27,12.0,Balikpapan,Denpasar,1.4,Economy,2418.306233815758
Batik Air,2024-06-17,2024-07-22,35.0,Yogyakarta,Denpasar,1.2,Economy,2183.0744227060864
Citilink,2024-06-12,2024-06-18,6.0,Makassar,Balikpapan,1.2,Business,8524.519653279107
Batik Air,2023-09-05,2023-11-23,79.0,Denpasar,Medan,4.1,Economy,1571.9564598161683
Lion Air,2024-04-27,2024-06-02,36.0,Medan,Jakarta,2.1,Economy,834.0216438581116
Sriwijaya Air,2023-04-20,2023-07-18,89.0,Balikpapan,Medan,3.5,Economy,1390.2470721527934
Lion Air,2024-09-29,2024-10-20,21.0,Denpasar,Yogyakarta,1.1,Business,4619.861483073646
Lion Air,2024-10-24,2024-12-16,53.0,Balikpapan,Surabaya,1.7,Business,3841.471676901402
Lion Air,2023-04-06,2023-06-29,84.0,Medan,Jakarta,2.0,Economy,2127.4636595388492
Sriwijaya Air,2024-09-20,2024-11-29,70.0,Medan,Surabaya,3.4,Economy,2753.9830290209347
Lion Air,2024-05-09,2024-06-25,47.0,Yogyakarta,Denpasar,1.4,Economy,1484.3216757303546
Citilink,2023-07-31,2023-09-28,59.0,Balikpapan,Yogyakarta,2.3,Economy,1528.3295236116053
Batik Air,2024-07-14,2024-09-20,68.0,Denpasar,Balikpapan,1.4,Economy,1042.8686213846008
Lion Air,2023-05-28,2023-08-14,78.0,Jakarta,Makassar,,Economy,1232.8771795104726
AirAsia,2024-07-27,2024-08-20,24.0,Yogyakarta,Balikpapan,2.3,Economy,2154.3041613374726
AirAsia,2023-06-28,2023-07-18,20.0,Yogyakarta,Balikpapan,2.3,Business,4359.490371298637
Batik Air,2023-01-23,2023-02-28,36.0,Surabaya,Medan,3.6,Economy,2123.1881743472136
Lion Air,2023-03-26,2023-05-08,43.0,Balikpapan,Denpasar,1.6,Business,2756.2387319541967
AirAsia,2024-03-23,2024-06-11,80.0,Makassar,Denpasar,1.3,Economy,1621.6469315266172
Sriwijaya Air,2024-09-04,2024-11-23,80.0,Surabaya,Jakarta,1.4,Economy,1641.592152983327
Citilink,2023-07-26,2023-08-14,19.0,Surabaya,Jakarta,1.4,Economy,1288.8942005761012
Garuda Indonesia,2023-05-23,2023-06-05,13.0,Denpasar,Surabaya,1.1,Economy,929.2403150617671
Batik Air,2023-03-06,2023-03-11,5.0,Surabaya,Balikpapan,1.7,Economy,1633.367390460834
Citilink,2024-08-08,2024-10-23,76.0,Medan,Makassar,4.0,Business,1793.2053624220334
Citilink,2024-12-01,2024-12-28,27.0,Jakarta,Yogyakarta,1.3,Economy,1367.384625381322
Sriwijaya Air,2023-01-03,2023-01-25,22.0,Medan,Makassar,4.0,Economy,1120.5508926993618
Citilink,2024-01-14,2024-03-19,65.0,Denpasar,Makassar,1.2,Economy,1328.3292283049118
AirAsia,2024-11-08,2024-11-09,1.0,Jakarta,Denpasar,1.8,Economy,987.3089706143222
Sriwijaya Air,2024-09-07,2024-09-29,22.0,Balikpapan,Surabaya,1.3,Economy,2320.671086409497
Batik Air,2024-09-05,2024-11-01,57.0,Balikpapan,Surabaya,1.4,Economy,1983.358904236466
Lion Air,2023-03-08,2023-05-07,60.0,Denpasar,Medan,4.2,Economy,878.9879505354702
Batik Air,2023-04-27,2023-07-20,84.0,Jakarta,Makassar,2.7,Economy,1313.168227460664
Sriwijaya Air,2023-03-07,2023-03-22,15.0,Balikpapan,Medan,3.4,Economy,1932.0498459317148
Batik Air,2023-10-06,2023-10-09,3.0,Surabaya,Yogyakarta,1.0,Business,3797.700044314209
Lion Air,2023-02-23,2023-04-19,55.0,Yogyakarta,Surabaya,0.9,Economy,945.9518006255832
Garuda Indonesia,2023-01-22,2023-03-03,40.0,Denpasar,Medan,4.4,Business,2787.943069642161
Sriwijaya Air,2024-08-01,2024-08-09,8.0,Yogyakarta,Balikpapan,2.1,Economy,2257.315636734814
Batik Air,2023-02-18,2023-02-22,4.0,Denpasar,Makassar,1.2,Economy,1005.9870758076876
Garuda Indonesia,2023-11-24,2023-12-08,14.0,Yogyakarta,Jakarta,1.0,Economy,1259.8635976927771
AirAsia,2024-06-25,2024-09-20,87.0,Balikpapan,Surabaya,1.6,Economy,788.5144117323725
AirAsia,2024-10-24,2025-01-12,80.0,Medan,Jakarta,2.2,Economy,558.9763466803197
Citilink,2023-02-21,2023-04-13,51.0,Jakarta,Medan,2.3,Economy,4468.317562668688
Lion Air,2023-03-23,2023-05-11,49.0,Medan,Yogyakarta,,Economy,1573.5097925375487
Sriwijaya Air,2024-07-25,2024-08-04,10.0,Medan,Jakarta,2.3,Business,2997.9158954846857
Lion Air,2024-08-24,2024-10-23,60.0,Medan,Balikpapan,3.6,Economy,1076.3957695075885
Batik Air,2024-11-28,2024-12-12,14.0,Denpasar,Balikpapan,1.5,Economy,2211.1715253148177
Batik Air,2024-12-24,2025-02-02,40.0,Makassar,Medan,4.0,Economy,1087.7102757975592
AirAsia,2024-06-28,2024-09-10,74.0,Denpasar,Yogyakarta,1.0,Economy,1590.5273342305907
Lion Air,2023-07-19,2023-09-05,48.0,Medan,Balikpapan,3.6,Economy,867.1529144932765
Citilink,2023-05-08,2023-05-12,4.0,Yogyakarta,Jakarta,1.4,Economy,2610.1493941277276
Sriwijaya Air,2024-01-29,2024-04-25,87.0,Makassar,Medan,4.2,Economy,841.6432749356528
AirAsia,2024-12-26,2025-02-26,62.0,Yogyakarta,Makassar,2.0,Business,2671.553241398219
Garuda Indonesia,2023-02-21,2023-05-09,77.0,Medan,Surabaya,3.3,Economy,1206.4465861768117
Lion Air,2024-05-16,2024-05-26,10.0,Denpasar,Yogyakarta,1.4,Economy,2345.620403734002
Batik Air,2023-07-06,2023-09-16,72.0,Denpasar,Jakarta,1.8,Economy,742.2444195106411
Garuda Indonesia,2024-01-16,2024-02-09,24.0,Medan,Denpasar,4.3,Economy,1779.0791122122992
Garuda Indonesia,2023-11-07,2023-12-01,24.0,Surabaya,Denpasar,1.1,Business,3954.7150630247734
Sriwijaya Air,2024-05-17,2024-07-03,47.0,Surabaya,Denpasar,1.2,Economy,1606.0256591579653
Sriwijaya Air,2024-02-27,2024-05-14,77.0,Jakarta,Medan,2.2,Business,1973.596363286026
Lion Air,2024-08-07,2024-09-20,44.0,Jakarta,Medan,2.1,Economy,760.9642989839796
Garuda Indonesia,2024-09-08,2024-11-11,64.0,Makassar,Balikpapan,0.9,Business,2134.941032182558
AirAsia,2023-01-11,2023-02-12,32.0,Makassar,Denpasar,1.2,Economy,1613.7227800460514
Lion Air,2024-09-17,2024-09-29,12.0,Yogyakarta,Makassar,2.2,Economy,864.3502585557827
Lion Air,2024-09-14,2024-10-06,22.0,Makassar,Jakarta,2.6,Economy,1558.8746067934542
Lion Air,2023-04-29,2023-07-27,89.0,Yogyakarta,Balikpapan,2.1,Economy,1347.0941636842383
Citilink,2023-06-27,2023-09-09,74.0,Balikpapan,Surabaya,1.4,Economy,1113.930249319907
Garuda Indonesia,2023-01-13,2023-03-10,56.0,Balikpapan,Makassar,1.1,Economy,1735.696269342593
Garuda Indonesia,2024-10-08,2024-11-17,40.0,Balikpapan,Denpasar,1.7,Economy,1316.3726155158654
Citilink,2023-04-17,2023-06-15,59.0,Surabaya,Denpasar,0.9,Economy,944.0195072628167
Batik Air,2024-07-11,2024-08-14,34.0,Jakarta,Surabaya,1.6,Economy,1455.7394527083777
Batik Air,2024-11-12,2025-02-02,82.0,Surabaya,Yogyakarta,0.8,Economy,1089.7746400116635
Garuda Indonesia,2024-03-03,2024-05-17,75.0,Medan,Balikpapan,3.4,Economy,678.9608034787257
Garuda Indonesia,2024-09-29,2024-10-13,14.0,Surabaya,Makassar,1.6,Business,4125.71515403836
Sriwijaya Air,2023-10-08,2024-01-03,87.0,Yogyakarta,Surabaya,1.0,Economy,1267.1446297523603
Sriwijaya Air,2023-12-09,2024-02-05,58.0,Denpasar,Medan,4.1,Economy,1807.4445477782083
Lion Air,2024-11-23,2025-01-16,54.0,Surabaya,Medan,3.5,Business,2443.06270644273
Garuda Indonesia,2023-10-11,2023-12-04,54.0,Makassar,Surabaya,1.5,Business,3053.0685512635437
Garuda Indonesia,2023-08-08,2023-10-26,79.0,Yogyakarta,Surabaya,0.8,Economy,1068.955971176335
Garuda Indonesia,2023-12-01,2024-01-10,40.0,Yogyakarta,Medan,4.0,Business,2678.138681497456
Lion Air,2023-10-27,2023-10-30,3.0,Medan,Denpasar,4.1,Economy,2572.728965983265
Citilink,2023-06-01,2023-08-12,72.0,Denpasar,Surabaya,0.8,Business,2385.767039419577
Batik Air,2024-09-18,2024-11-22,65.0,Makassar,Surabaya,1.5,Economy,882.1358629054059
Batik Air,2023-06-07,2023-06-30,23.0,Yogyakarta,Balikpapan,2.4,Economy,1343.8686939477548
AirAsia,2024-05-22,2024-07-24,63.0,Denpasar,Yogyakarta,1.3,Economy,1049.8543387966206
Batik Air,2024-07-21,2024-08-06,16.0,Surabaya,Denpasar,1.1,Economy,1410.876393286838
AirAsia,2023-03-15,2023-05-07,53.0,Medan,Surabaya,3.5,Economy,973.8204325098385
Garuda Indonesia,2024-08-09,2024-09-11,33.0,Denpasar,Yogyakarta,1.2,Economy,1576.4228931509685
Citilink,2024-04-24,2024-04-29,5.0,Yogyakarta,Jakarta,1.2,Economy,1245.8160370863925
Garuda Indonesia,2023-04-16,2023-07-05,80.0,Makassar,Medan,3.8,Business,2597.508446625248
Sriwijaya Air,2024-06-27,2024-07-25,28.0,Surabaya,Denpasar,1.2,Economy,2197.7269542860477
Garuda Indonesia,2024-10-23,2024-12-08,46.0,Makassar,Surabaya,1.6,Economy,1495.0077511150532
Lion Air,2023-02-17,2023-05-08,80.0,Makassar,Surabaya,1.7,Economy,1677.5319599834197
AirAsia,2023-03-16,2023-05-14,59.0,Jakarta,Denpasar,2.0,Economy,641.2148801138178
Citilink,2024-03-09,2024-05-09,61.0,Medan,Makassar,3.9,Business,2756.566604162829
Lion Air,2024-10-07,2024-12-14,68.0,Jakarta,Balikpapan,1.8,Economy,1185.759285877218
AirAsia,2024-09-29,2024-11-21,53.0,Denpasar,Yogyakarta,1.3,Economy,1459.5232775024142
Garuda Indonesia,2023-12-26,2024-02-21,57.0,Denpasar,Medan,4.2,Economy,1629.8171893884685
Citilink,2024-11-28,2024-12-14,16.0,Medan,Denpasar,4.3,Economy,1158.8127076350654
Lion Air,2023-11-24,2024-02-15,,Jakarta,Makassar,2.7,Economy,1211.6883740551382
Garuda Indonesia,2024-11-27,2025-01-14,48.0,Medan,Jakarta,2.1,Economy,1113.0923126316545
Sriwijaya Air,2024-01-04,2024-01-23,19.0,Jakarta,Balikpapan,2.2,Economy,1203.2358283659044
Garuda Indonesia,2024-12-23,2025-01-10,18.0,Jakarta,Medan,2.3,Economy,1642.7918114749366
AirAsia,2023-10-31,2023-11-09,9.0,Denpasar,Yogyakarta,1.3,Economy,1908.177771612784
Garuda Indonesia,2024-06-06,2024-07-26,50.0,Surabaya,Medan,3.5,Business,4659.706666562032
Lion Air,2024-07-17,2024-08-11,25.0,Makassar,Denpasar,1.0,Economy,953.5270204874911
Sriwijaya Air,2023-05-10,2023-08-03,85.0,Medan,Surabaya,3.3,Economy,1092.8444287422426
Batik Air,2023-11-23,2023-12-19,26.0,Makassar,Yogyakarta,2.0,Economy,1911.0728702239414
AirAsia,2024-04-19,2024-06-09,51.0,Jakarta,Balikpapan,1.9,Economy,1815.2400060107016
Garuda Indonesia,2023-09-29,2023-12-02,64.0,Jakarta,Surabaya,1.5,Economy,1498.8840344841744
Batik Air,2024-01-26,2024-03-19,53.0,Jakarta,Surabaya,1.5,Economy,1464.568500410161
AirAsia,2023-01-14,2023-02-18,35.0,Medan,Jakarta,2.2,Economy,1862.6787247825334
Batik Air,2024-02-20,2024-04-15,55.0,Jakarta,Surabaya,1.5,Economy,1455.4661797676438
Citilink,2024-05-20,2024-07-25,66.0,Jakarta,Makassar,2.3,Economy,926.2744632912334
Sriwijaya Air,2024-07-11,2024-08-05,25.0,Medan,Makassar,3.9,Economy,1993.383859034745
Lion Air,2024-03-06,2024-05-25,80.0,Yogyakarta,Medan,3.6,Economy,868.4110962790552
Lion Air,2023-01-13,2023-02-01,,Balikpapan,Jakarta,1.9,Business,2698.13315084236
Garuda Indonesia,2023-12-18,2024-01-18,31.0,Yogyakarta,Surabaya,1.1,Economy,1723.2369843579186
Lion Air,2023-03-06,2023-05-18,73.0,Balikpapan,Surabaya,1.4,Economy,596.0063014232728
Sriwijaya Air,2024-12-24,2025-02-21,59.0,Surabaya,Yogyakarta,1.1,Economy,1152.3526512582591
Lion Air,2024-12-08,2025-01-06,29.0,Balikpapan,Surabaya,1.3,Economy,1778.6601493669755
Garuda Indonesia,2023-07-14,2023-09-13,61.0,Medan,Jakarta,2.0,Economy,1379.944330462158
Sriwijaya Air,2023-02-23,2023-04-24,60.0,Medan,Balikpapan,3.6,Economy,864.6229024277469
Garuda Indonesia,2023-02-24,2023-04-09,44.0,Makassar,Denpasar,1.2,Economy,2044.6200472310736
AirAsia,2024-12-01,2025-01-11,41.0,Yogyakarta,Jakarta,,Economy,3407.1903191868555
Lion Air,2024-09-25,2024-10-27,32.0,Denpasar,Yogyakarta,1.3,Economy,1483.101122678991
Batik Air,2024-05-21,2024-07-11,51.0,Yogyakarta,Balikpapan,2.3,Economy,1147.8955578483415
Batik Air,2023-08-06,2023-08-30,24.0,Makassar,Yogyakarta,1.8,Economy,2174.717987423058
Citilink,2024-03-16,2024-04-20,35.0,Denpasar,Surabaya,,Business,3886.0494949959525
Batik Air,2023-12-14,2024-01-18,35.0,Makassar,Jakarta,2.6,Economy,909.0207777653691
Garuda Indonesia,2023-06-25,2023-08-01,37.0,Medan,Jakarta,2.1,Economy,1732.9557066123007
Garuda Indonesia,2023-10-23,2023-11-30,38.0,Surabaya,Jakarta,1.7,Economy,895.5926709352356
AirAsia,2023-07-08,2023-07-25,17.0,Balikpapan,Yogyakarta,2.2,Economy,4518.842088472207
Citilink,2023-12-12,2023-12-13,1.0,Makassar,Surabaya,1.5,Economy,1671.8648201134795
Batik Air,2024-01-30,2024-03-23,53.0,Denpasar,Surabaya,,Economy,2918.625117968821
AirAsia,2023-04-06,2023-05-05,29.0,Balikpapan,Jakarta,2.0,Economy,1631.3620714518145
Citilink,2024-07-18,2024-09-01,45.0,Denpasar,Medan,4.1,Economy,1128.0187064243491
AirAsia,2024-10-27,2024-11-15,19.0,Makassar,Medan,4.0,Economy,1902.6728508966205
Sriwijaya Air,2023-10-13,2023-12-23,71.0,Jakarta,Denpasar,1.8,Economy,1677.0164016286915
Garuda Indonesia,2023-06-07,2023-08-25,79.0,Makassar,Balikpapan,0.8,Economy,1595.3913206957266
Lion Air,2023-03-20,2023-06-02,74.0,Balikpapan,Jakarta,1.9,Economy,542.0288367851344
Batik Air,2024-08-13,2024-10-17,65.0,Balikpapan,Jakarta,1.9,Economy,958.1504944139215
AirAsia,2023-04-10,2023-06-06,57.0,Balikpapan,Medan,3.7,Economy,797.8766299212582
AirAsia,2024-01-08,2024-02-12,35.0,Medan,Surabaya,3.6,Economy,1831.7254421304008
Garuda Indonesia,2023-07-19,2023-08-23,35.0,Denpasar,Surabaya,0.9,Economy,1954.275445429573
Sriwijaya Air,2024-04-21,2024-06-21,61.0,Denpasar,Surabaya,1.0,Economy,1446.8824024440148
Garuda Indonesia,2023-06-29,2023-07-29,30.0,Yogyakarta,Denpasar,1.1,Economy,1453.539629633442
Lion Air,2023-07-15,2023-07-25,10.0,Yogyakarta,Jakarta,1.4,Economy,2522.2604188154965
Batik Air,2024-07-30,2024-08-03,4.0,Balikpapan,Yogyakarta,2.1,Economy,885.5827428532748
Sriwijaya Air,2023-12-02,2024-02-24,84.0,Surabaya,Makassar,1.5,Economy,1132.5324288953127
AirAsia,2024-06-03,2024-07-05,32.0,Surabaya,Makassar,1.7,Economy,1354.7296047827858
